date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:22:11	11079/11079	---M--	200	added ('OK')	image/png	etag:%22d55cc521938d01:0%22	https://portal.unaab.edu.ng/images/eresources.png	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/images/eresources.png	(from https://portal.unaab.edu.ng/Default.aspx)
21:22:15	9873/9873	---M--	200	added ('OK')	image/png	etag:%2269bcc621938d01:0%22	https://portal.unaab.edu.ng/images/interact.png	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/images/interact.png	(from https://portal.unaab.edu.ng/Default.aspx)
21:22:16	154/154	---M--	303	error ('See%20Other')	text/html	date:Tue,%2014%20Dec%202021%2020:14:37%20GMT	http://portal.unaab.edu.ng/pt/	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/pt/index.html	(from https://portal.unaab.edu.ng/Default.aspx)
21:22:18	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Dec%202021%2020:14:40%20GMT	https://portal.unaab.edu.ng/POST	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/POST.53.delayed	(from https://portal.unaab.edu.ng/WebResource.axd?d=pynGkmcFUV13He1Qd6_TZBbqLwHovNJIbjSbqtXs5QVvgwDvKGdMr05nZnddWG-CbdsaVeGeFjUbveBDJXc3FA2&t=637454104754849868)
21:22:19	18757/18757	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Dec%202021%2020:14:40%20GMT	https://portal.unaab.edu.ng/	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/index.html	(from https://portal.unaab.edu.ng/WebResource.axd?d=pynGkmcFUV13He1Qd6_TZBbqLwHovNJIbjSbqtXs5QVvgwDvKGdMr05nZnddWG-CbdsaVeGeFjUbveBDJXc3FA2&t=637454104754849868)
21:22:24	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Dec%202021%2020:14:46%20GMT	https://portal.unaab.edu.ng/funaabgate.jpg	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/funaabgate.54.delayed	(from https://portal.unaab.edu.ng/home.css)
21:22:25	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Dec%202021%2020:14:47%20GMT	https://portal.unaab.edu.ng/Images/error.png	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/Images/error.55.delayed	(from https://portal.unaab.edu.ng/home.css)
21:22:25	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Dec%202021%2020:14:48%20GMT	https://portal.unaab.edu.ng/Images/success.png	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/Images/success.56.delayed	(from https://portal.unaab.edu.ng/home.css)
21:22:26	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Dec%202021%2020:14:48%20GMT	https://portal.unaab.edu.ng/Images/warning.png	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/Images/warning.57.delayed	(from https://portal.unaab.edu.ng/home.css)
21:22:27	476/476	---M--	200	added ('OK')	image/png	etag:%221a1712cd9b57d11:0%22	https://portal.unaab.edu.ng/Images/notice.png	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/Images/notice.png	(from https://portal.unaab.edu.ng/home.css)
21:22:28	161/161	---M--	303	error ('See%20Other')	text/html	date:Tue,%2014%20Dec%202021%2020:14:51%20GMT	http://portal.unaab.edu.ng/robots.txt		(from https://portal.unaab.edu.ng/Default.aspx)
21:22:29	7809/7809	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Dec%202021%2020:14:51%20GMT	https://portal.unaab.edu.ng/Secure/AdmisionStatus.aspx	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/Secure/AdmisionStatus.aspx	(from https://portal.unaab.edu.ng/Default.aspx)
